id,name,description,region,subregion,top_cities,pros,cons,similar_destinations,climate,inflation_rate,monthly_expenditure_single,monthly_expenditure_couple,tags,life_expectancy,life_expectancy_after_65,population_density,retirement_community,english_usage,crowds,affordability,healthcare_quality,personal_safety,political_stability,visa_ease,tax_environment,infrastructure,weather_comfort,healthcare_cost,economy,grade,international_living
portugal,Portugal,"Portugal has become one of Europe's most popular retirement destinations, offering excellent healthcare, a stable political environment, and a welcoming expat community. With its Mediterranean climate, affordable cost of living compared to other Western European countries, and easy visa access through programs like the D7 and Golden Visa, Portugal provides an ideal balance of quality of life and value.",Europe,Western Europe,lisbon:porto:lagos,strong-healthcare-access:comfortable-climate:strong-expat-community:high-personal-safety,high-cost-of-living:high-tax:crowded,spain:italy:greece,Mediterranean,0.025,"2,250.00","2,750.00",Low Cost:Warm Weather:Safe:Large Expat Communities:Tax Friendly,76,85,Moderate,Thriving Hub,Commonly Used,Moderate,B:Moderate,B:Good,B:Safe,B:Stable,B:Easy,C:Moderate Tax,B:Good,A:Ideal,B:Low,B:Stable,B,TRUE
singapore,Singapore,"Singapore offers world-class healthcare, exceptional safety, and first-world infrastructure in a tropical city-state where English is an official language. The country combines Asian and Western cultures with excellent connectivity to the region. However, costs rival Switzerland's, humidity is constant, and residency is extremely difficult without significant investment or family ties. Singapore suits wealthy retirees seeking urban Asian hub with English language and maximum efficiency, but prohibitive costs and limited retirement visa options restrict accessibility.",Asia,Southeast Asia,central-area:east-coast:sentosa,high-personal-safety:english-friendly:strong-healthcare-access,high-cost-of-living:crowded,united-arab-emirates:switzerland:netherlands,Tropical,0.025,"4,500.00","5,750.00",Top Healthcare:Safe:Warm Weather:English Spoken:Premium Cost:Tropical Paradise,74,83,Very Dense,Growing Scene,Widely Spoken,Very Crowded,D:Very High,A:Very Good,A:Very Safe,A:Very Stable,D:Difficult,A:Very Tax-Friendly,A:Very Good,D:Challenging,C:High,A:Very Stable,B,TRUE
slovenia,Slovenia,"Slovenia offers Central European quality at reasonable costs, with excellent safety, clean cities, and good healthcare. This small country combines Alpine beauty around Lake Bled with Adriatic coast access. Ljubljana is one of Europe's most livable capitals. While the expat community is smaller than in Mediterranean hotspots, the country's stability, efficient infrastructure, and position at the crossroads of Europe make it appealing for retirees seeking a quieter, highly developed destination.",Europe,Southern Europe,ljubljana:bled:piran,high-personal-safety:strong-healthcare-access,high-tax:small-expat-community,austria:czech-republic:germany,Temperate,0.025,"2,250.00","2,850.00",Safe:Low Crowds,77,86,Comfortable,Established,Commonly Used,Tranquil,C:High,A:Very Good,A:Very Safe,A:Very Stable,C:Moderate,D:High Tax,A:Very Good,B:Comfortable,B:Low,A:Very Stable,B,FALSE
south-korea,South Korea,"South Korea combines modern cities, excellent healthcare, and advanced infrastructure with rich cultural heritage. Seoul offers cosmopolitan living, while smaller cities provide more traditional experiences. Costs are moderate to high, and residency is challenging without work or family ties. English is limited outside international areas. The country's safety, technology, and cuisine appeal to those interested in East Asian culture, but language barriers, limited retirement visa options, and dense urban living limit appeal for typical retirees.",Asia,East Asia,seoul:busan:jeju-island,modern-infrastructure:strong-healthcare-access,limited-english:crowded,japan:taiwan:singapore,Temperate,0.025,"2,850.00","3,600.00",Top Healthcare:Safe:Premium Cost:Limited English,78,87,Very Dense,Established,Minimal,Very Crowded,C:High,A:Very Good,A:Very Safe,B:Stable,D:Difficult,D:High Tax,A:Very Good,B:Comfortable,B:Low,A:Very Stable,B,FALSE
spain,Spain,"Spain offers retirees a vibrant Mediterranean lifestyle with world-class healthcare, rich cultural heritage, and diverse climate zones from coastal beaches to mountain retreats. The country's well-developed infrastructure, strong expat communities particularly along the Costa del Sol and Costa Blanca, and excellent cuisine make it a top choice. While taxes are higher than some alternatives, the quality of life and accessibility throughout Europe provide exceptional value.",Europe,Western Europe,valencia:malaga:alicante,strong-healthcare-access:comfortable-climate:modern-infrastructure,high-tax:crowded,portugal:italy:france,Mediterranean,0.025,"2,500.00","3,150.00",Warm Weather:Large Expat Communities:Beach Living,67,76,Moderate,Thriving Hub,Commonly Used,Tourist-Heavy,B:Moderate,B:Good,B:Safe,B:Stable,B:Moderate,C:High Tax,D:Good,B:Ideal,A:Low,B:Stable,C,TRUE
sri-lanka,Sri Lanka,"Sri Lanka offers tropical beauty, low costs, and cultural richness from Colombo's coast to Kandy's hills. The retirement visa requires $1,500 monthly income. English is commonly spoken given British colonial heritage. However, the country has faced economic crisis and political instability, with recent shortages and currency issues. Healthcare is adequate in cities. Sri Lanka suits adventurous retirees seeking affordability and culture who can tolerate economic uncertainty and developing infrastructure.",Asia,South Asia,colombo:galle:kandy,affordable-cost-of-living,volatile-political-climate:developing-infrastructure,turkey:tunisia:indonesia,Tropical,0.025,"1,400.00","1,900.00",Low Cost:Tropical Paradise:Warm Weather:Beach Living,76,85,Dense,Established,Commonly Used,Moderate,A:Low,B:Good,B:Safe,D:Unstable,C:Moderate,C:Moderate Tax,B:Good,A:Ideal,A:Very Low,D:Unstable,C,FALSE
sweden,Sweden,"Sweden combines high living standards with stunning natural beauty from Stockholm's archipelago to Lapland's wilderness. The healthcare system is excellent, and English proficiency is nearly universal. Costs and taxes are very high, but the quality of services and infrastructure justify them for many. Long, dark winters are challenging, but summers are beautiful. Residency for non-EU retirees requires financial proof. The country's stability, environmental consciousness, and quality of life appeal to those who can afford it and enjoy Nordic culture.",Europe,Northern Europe,stockholm:gothenburg:malmo,high-personal-safety:modern-infrastructure,challenging-climate:high-tax,norway:denmark:finland,Cold,0.025,"3,500.00","4,500.00",Top Healthcare:Safe:English Spoken:Premium Cost,81,90,Comfortable,Established,Widely Spoken,Moderate,D:Very High,A:Very Good,A:Very Safe,A:Very Stable,C:Moderate,D:High Tax,A:Very Good,B:Comfortable,C:High,A:Very Stable,B,FALSE
switzerland,Switzerland,"Switzerland offers exceptional quality across all metrics: world-class healthcare, stunning Alpine scenery, safety, and infrastructure. The country's stability, cleanliness, and efficiency are unmatched. However, costs are the world's highest, with even modest living requiring substantial resources. Four language regions provide diversity. Residency is extremely difficult without significant wealth or family ties. Switzerland suits wealthy retirees who prioritize absolute quality, safety, and beauty, and can afford premium costs in arguably the world's most expensive country.",Europe,Western Europe,zurich:geneva:lugano,strong-healthcare-access:high-personal-safety,high-cost-of-living:complex-visa-process,austria:france:germany,Temperate,0.025,"5,000.00","6,250.00",Top Healthcare:Safe:Premium Cost:Mountain Living,71,80,Moderate,Established,Widely Spoken,Moderate,D:Very High,A:Very Good,A:Very Safe,A:Very Stable,D:Difficult,C:Moderate Tax,A:Very Good,B:Comfortable,D:Very High,A:Very Stable,C,FALSE
taiwan,Taiwan,"Taiwan offers excellent healthcare at affordable prices, very high safety, and friendly people in a democratic society. Taipei provides modern urban living, while smaller cities offer better value. The retirement visa requires $100,000+ in assets. English is limited outside Taipei. The subtropical climate brings hot, humid summers and mild winters. Taiwan suits those seeking safe, affordable Asian living with excellent healthcare and democratic values, though language barriers and limited expat community outside Taipei pose challenges.",Asia,East Asia,taipei:taichung:kaohsiung,strong-healthcare-access:high-personal-safety:affordable-cost-of-living,crowded:complex-visa-process,south-korea:japan:singapore,Subtropical,0.025,"2,250.00","2,850.00",Top Healthcare:Safe:Low Cost:Limited English,80,89,Dense,Established,Minimal,Very Crowded,B:Moderate,A:Very Good,A:Very Safe,B:Stable,D:Difficult,C:Moderate Tax,A:Very Good,B:Comfortable,B:Low,A:Very Stable,B,FALSE
thailand,Thailand,"Thailand has long been Southeast Asia's premier retirement destination, offering an unbeatable combination of low living costs, excellent private healthcare, and welcoming culture. Cities like Chiang Mai and beach destinations like Phuket host thriving expat communities. The retirement visa requires proof of 800,000 baht in a Thai bank account or 65,000 baht monthly income. While political instability has been a concern, day-to-day life remains peaceful, and the infrastructure continues improving.",Asia,Southeast Asia,chiang-mai:bangkok:phuket,affordable-cost-of-living:strong-healthcare-access:strong-expat-community,crowded:complex-visa-process,malaysia:vietnam:philippines,Tropical,0.025,"2,000.00","2,500.00",Low Cost:Tropical Paradise:Warm Weather:Large Expat Communities:Beach Living,76,85,Dense,Thriving Hub,Basic Available,Very Crowded,A:Low,B:Good,B:Safe,C:Moderate,C:Moderate,C:Moderate Tax,B:Good,A:Ideal,A:Very Low,C:Moderate,C,TRUE
tunisia,Tunisia,"Tunisia offers Mediterranean coastline, Roman ruins, and low costs in a relatively stable North African country. Coastal cities like Sousse and Hammamet provide beach living. Healthcare is adequate but not world-class. French is commonly spoken. Political changes since the Arab Spring have brought challenges. Residency requires proof of income. Tunisia suits budget-conscious retirees seeking Mediterranean climate and culture at low cost with African flavor, who can tolerate developing infrastructure and some political uncertainty.",Middle East & North Africa,North Africa,tunis:sousse:hammamet,affordable-cost-of-living:comfortable-climate:low-crowds,developing-healthcare:volatile-political-climate,morocco:turkey:greece,Mediterranean,0.025,"1,400.00","1,900.00",Low Cost:Warm Weather:Beach Living:Low Crowds,84,93,Moderate,Established,Commonly Used,Moderate,A:Low,B:Good,B:Safe,C:Moderate,C:Moderate,C:Moderate Tax,B:Good,A:Ideal,A:Very Low,C:Moderate,C,FALSE
turkey,Turkey,"Turkey straddles Europe and Asia, offering diverse landscapes from Mediterranean beaches to cosmopolitan Istanbul. The cost of living is exceptionally low, private healthcare is good in major cities, and residency permits are straightforward. However, significant economic instability with high inflation and currency volatility poses risks. Political changes have also created uncertainty. Cities like Antalya and coastal areas attract retirees, but careful financial planning is essential given the lira's fluctuations and evolving political landscape.",Europe,Southern Europe,antalya:istanbul:izmir,affordable-cost-of-living:strong-healthcare-access,volatile-political-climate:crowded,tunisia:morocco:sri-lanka,Mixed,0.025,"1,400.00","1,900.00",Low Cost:Warm Weather:Beach Living,83,92,Dense,Established,Minimal,Very Crowded,A:Low,B:Good,B:Safe,D:Unstable,B:Easy,C:Moderate Tax,B:Good,B:Comfortable,A:Very Low,D:Unstable,C,FALSE
united-arab-emirates,United Arab Emirates,"The UAE, particularly Dubai and Abu Dhabi, offers modern infrastructure, excellent healthcare, and exceptional safety with year-round sunshine. The multicultural environment includes large expat populations. However, costs are very high, the heat is extreme in summer, and residency requires property investment ($200,000+) or company sponsorship. The culture is conservative compared to Western countries. The UAE suits those seeking modern Middle Eastern luxury with safety and efficiency, who can afford high costs and adapt to cultural norms.",Middle East & North Africa,Middle East,dubai:abu-dhabi:ras-al-khaimah,high-personal-safety:tax-friendly:strong-healthcare-access,challenging-climate:high-cost-of-living,singapore:oman:switzerland,Arid,0.025,"4,000.00","5,250.00",Safe:Warm Weather:English Spoken:Tax Friendly:Premium Cost,76,85,Moderate,Growing Scene,Widely Spoken,Very Crowded,D:Very High,A:Very Good,A:Very Safe,B:Stable,D:Difficult,A:Very Tax-Friendly,A:Very Good,D:Challenging,B:Low,A:Very Stable,B,FALSE
united-kingdom,United Kingdom,"The UK offers familiar English-speaking environment with world-class healthcare through the NHS, though waiting times can be long. From London's culture to Scottish Highlands' beauty, the country provides diversity. Post-Brexit, residency for non-UK citizens has become more challenging, requiring significant income or investment. Costs are high, particularly in the southeast. The weather is often gray. The UK suits those with existing ties or citizenship seeking familiarity, despite higher costs and more challenging immigration compared to pre-Brexit times.",Europe,Western Europe,edinburgh:bath:cornwall,english-friendly:strong-healthcare-access,high-cost-of-living:complex-visa-process,ireland:canada:australia,Temperate,0.025,"3,500.00","4,500.00",Top Healthcare:Safe:English Spoken:Premium Cost,84,93,Dense,Thriving Hub,Widely Spoken,Very Crowded,D:Very High,A:Very Good,B:Safe,A:Very Stable,D:Difficult,C:Moderate Tax,A:Very Good,B:Comfortable,C:High,A:Very Stable,C,FALSE
united-states,United States,"The US offers incredible diversity from Florida beaches to Arizona deserts, with world-class healthcare facilities and infrastructure. However, healthcare costs are the world's highest without employer coverage, and the system is complex. Residency without family ties requires substantial investment through EB-5 visas ($800,000+). Costs vary dramatically by region. The US suits those with existing citizenship, family ties, or substantial wealth seeking familiar environment, but prohibitive healthcare costs and immigration barriers limit appeal for foreign retirees.",Americas,North America,sarasota:scottsdale:san-diego,strong-healthcare-access:lifestyle-variety,high-cost-of-living:high-tax,canada:australia:united-kingdom,Mixed,0.025,"4,000.00","5,250.00",Top Healthcare:English Spoken:Premium Cost,66,75,Moderate,Established,Widely Spoken,Very Crowded,D:Very High,A:Very Good,B:Safe,B:Stable,D:Difficult,D:High Tax,A:Very Good,B:Comfortable,D:Very High,B:Stable,C,FALSE
uruguay,Uruguay,"Uruguay offers South American living with European feel, stable democracy, and progressive social policies. Montevideo provides urban amenities, while Punta del Este offers beach lifestyle. The country has good healthcare, low crime, and straightforward residency. Costs are moderate, higher than most Latin American countries but offering corresponding quality. The temperate climate brings four seasons. Uruguay suits retirees seeking safe, stable South American living with European cultural influence and don't need tropical weather or ultra-low costs.",Americas,South America,montevideo:punta-del-este:colonia-del-sacramento,stable-political-environment:strong-healthcare-access,high-cost-of-living:small-expat-community,chile:portugal:spain,Temperate,0.025,"2,500.00","3,150.00",Low Cost:Warm Weather:Safe:Large Expat Communities:Beach Living,67,76,Comfortable,Established,Commonly Used,Relaxed,C:High,A:Very Good,A:Very Safe,B:Stable,B:Easy,C:Moderate Tax,A:Very Good,B:Comfortable,B:Low,B:Stable,B,TRUE
vietnam,Vietnam,"Vietnam offers extremely low costs, improving healthcare in major cities, and French colonial charm alongside rapid development. From Hanoi's culture to Da Nang's beaches and Ho Chi Minh City's energy, the country provides diversity. The temporary residence visa is accessible for retirees. English is limited, and infrastructure varies significantly between cities and rural areas. Vietnam suits adventurous retirees seeking affordability and Asian immersion who don't mind developing infrastructure and can navigate with limited English.",Asia,Southeast Asia,da-nang:ho-chi-minh-city:hanoi,affordable-cost-of-living:improving-healthcare,developing-healthcare:polluted-cities,thailand:philippines:indonesia,Tropical,0.025,"1,650.00","2,150.00",Low Cost:Tropical Paradise:Warm Weather:Easy Residency:Beach Living,69,78,Dense,Growing Scene,Minimal,Very Crowded,A:Low,B:Good,B:Safe,C:Moderate,C:Moderate,C:Moderate Tax,B:Good,A:Ideal,A:Very Low,C:Moderate,C,TRUE
